OBJECTID,PROJECT_ID,FISCAL_YEAR,CONSTRUCTION_YEAR,CONCEPT_CODE,CONCEPT_DESCRIPTION,WORK_CONCEPT,SUB_PROGRAM_CODE,SUB_PROGRAM_DESCRIPTION,ROUTE_TYPE,ROUTE_NAME,ROUTE,COUNTY,TITLE,LIMITS,MILES,REGION,CONSTRUCTION_COST_RANGE_WD,LAST_REFRESH_DATE,WORK_DESCRIPTION,ASSEMBLY_DISTRICT_NUMBERS,CONGRESSIONAL_DISTRICT_NUMBERS,SENATE_DISTRICT_NUMBERS
200457,51450071,2023,2023,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),"CONST/PULVERZ/B13-796,-797 RPL/RSRF",303,STATE HIGHWAY REHABILITATION                                               ,WIS,019,WIS 019,DANE                          ,MAZOMANIE - USH 12,STH 78 TO USH 12,9.56,SW,"$12,000,000 - $12,999,999",2021/07/24 08:34:36+00,Recondition the roadway geometrics to at least 45 MPH standards.  Resurface the remaining asphaltic.,"79,81",2,27
200458,13000970,2022,2022,PSRS40,SHORT TERM OVERLAY (MILL AND OVERLAY),CONST/RECONDITIONING,303,STATE HIGHWAY REHABILITATION                                               ,WIS,083,WIS 083,RACINE                        ,NORTHWEST HIGHWAY (STH 83),STH 20 TO IH 43,7.19,SE,"$9,000,000 - $9,999,999",2021/07/24 08:34:36+00,"STH 83, STH 20 to IH43","33,83",1,"28,11"
200460,51900771,2025,2025 - 2026,PVRPLA,PAVEMENT REPLACEMENT,CONST/MILL & O'LAY/B-52-233/PVRPLA,303,STATE HIGHWAY REHABILITATION                                               ,WIS,060,WIS 060,RICHLAND                      ,STH 80 - SLEEPY HOLLOW ROAD,STH 80 EAST TO SLEEPY HOLLOW RD,3.51,SW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,Recondition roadway by replacing deteriorating pavement and geometric improvements as needed.,"49,51",3,17
200464,16101170,2022,2022,COLD10,PARTIAL DEPTH CIR WITH <= 2.5 INCH CAP,CONSTRUCTION/CIR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,ASHLAND                       ,PARK FALLS - MELLEN,MORSE ROAD TO JEFFERSON AVENUE,10.17,NW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,"This project consists of CIR and overlaying the existing pavement, along with all incidentals necessary.",74,7,25
200465,23050270,2024,2024,MISC  ,MISCELLANEOUS,CONST/FULL PS/MISC,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,OO ,County OO ,MILWAUKEE                     ,C FRANKLIN FOREST HOME AVENUE,INTERSECT WITH SPEEDWAY,0.023,SE,"$0 - $99,999",2021/07/24 08:34:36+00,FOREST HOME AVE (INTERSECT W SPEEDWAY) HSIP,82,1,28
200466,16410272,2022,2022,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/HSIP/GRADE-BASE-SURFACE/RECST,303,STATE HIGHWAY REHABILITATION                                               ,US,014,US 014,LA CROSSE                     ,"C LACROSSE, SOUTH AVENUE",GREEN BAY STREET TO WARD AVENUE,1.05,SW,"$7,000,000 - $7,999,999",2021/07/24 08:34:36+00,Reconstruct the roadway and improve the intersections.,95,3,32
200467,27200970,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEMENT B-67-0261,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,WAUKESHA                      ,LILLY ROAD                         ,BRIDGE OVER MENOMONEE RIVER        ,0,SE,"$500,000 - $749,999",2021/07/24 08:34:36+00,"LILLY RD, BRIDGE OVER MENOMONEE RIVER",24,5,8
200470,23650571,2024,2024,RCND20,RECONDITION (IMPROVE CURVE/GRADE/SIGHT/INTERSECT),CONST/RECONDITION,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,MILWAUKEE                     ,V GREENDALE W GRANGE AVENUE,S 76TH STREET TO S 84TH STREET     ,0.497,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,W GRANGE AVE (S 76TH ST TO S 84TH ST) RECONDITION,82,1,28
200471,23700075,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,164,WIS 164,WAUKESHA                      ,PEWAUKEE ROAD (WAUKESHA - SLINGER),SWAN ROAD TO NORTH COUNTY LINE,8.027,SE,"$15,000,000 - $16,999,999",2021/07/24 08:34:36+00,To Be Determined,"98,22",5,"8,33"
200472,78340373,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,N  ,County N  ,CLARK                         ,CTH M - STH 73                     ,S FK EAU CLAIRE RIVER BR B-10-0387,0.022,NW,"$750,000 - $999,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge.,68,7,23
200475,15803070,2024,2024,COLD10,PARTIAL DEPTH CIR WITH <= 2.5 INCH CAP,CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,US,008,US 008,PRICE                         ,PRENTICE - BRADLEY,LUSTILA ROAD TO CTH YY,6.5,NC,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"Rehab the existing concrete and asphaltic pavement, subgrade and then overlay.  Replace beamguard and upgrade intersection.",74,7,25
200476,94910670,2023,2023,RCND20,RECONDITION (IMPROVE CURVE/GRADE/SIGHT/INTERSECT),CONST/HSIP,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,K  ,County K  ,MARATHON                      ,WAUSAU - MERRILL,DECATOR DRIVE TO LINCOLN CO LINE,8.5,NC,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,,86,7,29
200477,20252070,2022,2022,BRRHB ,BRIDGE REHABILITATION,CONST/RIDGE DECK OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,190,WIS 190,MILWAUKEE                     ,"CAPITOL DR, CITY OF WAUWATOSA",124TH ST TO STH 100,0,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"STH 190, EB BRIDGE OVER MENOMONEE RIVER",14,5,5
200478,10094368,2026 - 2027,2025 - 2026,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,055,WIS 055,MENOMINEE                     ,MENOMINEE CO CULVERT REPLACEMENT,STH 55 COUNTYWIDE,0.701,NC,"$500,000 - $749,999",2021/07/24 08:34:36+00,To Be Determined,36,8,12
200479,10094664,2023,2023,BRRHB ,BRIDGE REHABILITATION,CONSTR/CONCRETE OVERLAY/JOINTS,303,STATE HIGHWAY REHABILITATION                                               ,WIS,107,WIS 107,MARATHON                      ,REGIONWIDE CONCRETE OVERLAYS,MARATHON COUNTY BRIDGE OVERLAYS,0,NC,"$750,000 - $999,999",2021/07/24 08:34:36+00,Various bridges will receive a new surface.,86,7,29
200480,33250671,2023,2023,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,067,WIS 067,WALWORTH                      ,ELKHORN ROAD,GENEVA ST TO GLENWOOD DR,1.21,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"STH 67, GENEVA ST TO GLENWOOD DR","31,32",1,11
200481,27090770,2023,2023,MISC  ,MISCELLANEOUS,CONST/INTERSECTION MOD-ROUND-ABOUT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,Q  ,County Q  ,WASHINGTON                    ,LISBON - RICHFIELD,INTERSECTION WITH HILLSIDE ROAD,0.028,SE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"CTH Q, INTERSECTION WITH HILLSIDE RD; intersection mod roundabout",22,5,8
200482,20402370,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,100,WIS 100,MILWAUKEE                     ,RYAN ROAD,STH 38 TO SHEPARD AVE,0.604,SE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,To Be Determined,21,1,7
200483,93300170,2023,2023,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/FLAP PROG REPLACEMENT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,C  ,County C  ,FOREST                        ,"T WABENO, SOPER STREET",N BR OCONTO RIVER BRIDGE,0.033,NC,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,,36,7,12
200484,10200283,2022,2022,BRRHB ,BRIDGE REHABILITATION,CONSTRUCTION/BRIDGE REHABILITATION,303,STATE HIGHWAY REHABILITATION                                               ,I-,094,I-094,ST. CROIX                     ,HUDSON - BALDWIN,CARMICHAEL ROAD BRIDGE B-55-0118,0.05,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"This project consists of a bridge rehabilitation, replacing the joints on the B-55-0118 bridge, along with all incidentals necessary.",30,7,10
200485,10140069,2022,2022,BRPVTV,BRIDGE PREVENTIVE,CONST/SCOUR MITIGATION/BRPVTV,303,STATE HIGHWAY REHABILITATION                                               ,I-,090,I-090,COLUMBIA                      ,WISCONSIN DELLS - PORTAGE,"BARABOO RIVER BRGS B-11-0137,-0138",0.03,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Scour mitigation at Baraboo River bridges B-11-137 and B-11-138.,81,6,27
200488,53500271,2024,2024,PVRPLA,PAVEMENT REPLACEMENT,CONST/ WATER MAIN,303,STATE HIGHWAY REHABILITATION                                               ,US,051,US 051,ROCK                          ,"C JANESVILLE, CENTER AVE",NICOLET STREET TO COURT STREET,1.127,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Pavement replacement.,44,1,15
200489,11960062,2023,2023,PSRS20,PATCH/RUT FILL/REPAIR AND GRIND/SLAB REPLACE,CONST/CONCRETE/JOINT REPAIR,303,STATE HIGHWAY REHABILITATION                                               ,US,053,US 053,WASHBURN                      ,MINONG - SOLON SPRINGS,BUS 53 (MINONG) TO LAKESIDE RD (NB),3.04,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"This project consists of concrete repair of the existing pavement, along with all incidentals necessary.",73,7,25
200491,49930101,2025,2025 - 2026,RECST ,"RECONSTRUCTION, PRESERVATION",CNST/RECST,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,WINNEBAGO                     ,"C NEENAH, COMMERCIAL STREET        ",STANLEY STREET TO TYLER STREET     ,1.47,NE,"$7,000,000 - $7,999,999",2021/07/24 08:34:36+00,"2020-2025 Local STP Program, reconstruction of existing roadway located in the City of Neenah; Commercial Street.",55,6,19
200492,94310070,2024,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,X  ,County X  ,LINCOLN                       ,"T PINE RIVER, CTH X                ",LITTLE OXBO CREEK BRIDGE P-35-0046,0,NC,"$250,000 - $499,999",2021/07/24 08:34:36+00,,35,7,12
200495,10200770,2025,2025 - 2026,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONSTRUCTION/RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,I-,094,I-094,ST. CROIX                     ,HUDSON - MENOMONIE,CTH T TO CTH BB (EB & WB),5.79,NW,"$10,000,000 - $10,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",29,7,10
200496,22250073,2026 - 2027,2025 - 2026,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,032,WIS 032,MILWAUKEE                     ,STH 32 - VILLAGE OF FOX POINT,SCHOOL ROAD TO DEAN ROAD,2.63,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,To Be Determined,23,4,8
200498,78340372,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,NN ,County NN ,CLARK                         ,WCL - CTH M                        ,ROGER CREEK BRIDGE B-10-0391,0.008,NW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge.,68,7,23
200499,13601370,2024,2024,BRRHB ,BRIDGE REHABILITATION,CONST/BRIDGE REHAB,303,STATE HIGHWAY REHABILITATION                                               ,WIS,145,WIS 145,MILWAUKEE                     ,"FOND DU LAC, CITY OF MILWAUKEE","SILVER SPRING,76TH, PED BRIDGES",0.015,SE,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,"STH 145, SILVER SPRING, 76TH, PED BRIDGES","11,82,12","1,4","4,28"
200502,15400278,2026 - 2027,2027,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,WIS,065,WIS 065,ST. CROIX                     ,RIVER FALLS - NEW RICHMOND,USH 12 EAST TO RICHMOND WAY,7.441,NW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.","30,29",7,10
200505,71400082,2026 - 2027,2025 - 2026,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,035,WIS 035,LA CROSSE                     ,LACROSSE - TREMPEALEAU,BLACK RVR BRDGS B-32-XXX & B-32-XXX,0.38,SW,"$9,000,000 - $9,999,999",2021/07/24 08:34:36+00,To Be Determined,"92,94",3,"31,32"
200508,11702061,2022,2022,BRNEW ,NEW BRIDGE,CONST/REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,US,051,US 051,VILAS                         ,MINOCQUA - MANITOWISH,TROUT RIVER CULVERT REPLACEMENT,0.131,NC,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Replace culvert with a new bridge.,34,7,12
200509,51800071,2023,2023,MISC  ,MISCELLANEOUS,CONST/SANITARY WATER/MISC,303,STATE HIGHWAY REHABILITATION                                               ,WIS,060,WIS 060,CRAWFORD                      ,BRIDGEPORT - BOSCOBEL,E JCT OLD HWY 60 TO KICKAPOO RIVER,10.982,SW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Resurfacing.,96,3,32
200511,15901275,2026 - 2027,2025 - 2026,PVRPLA,PAVEMENT REPLACEMENT,CONST/PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,US,008,US 008,ONEIDA                        ,RHINELANDER - MONICO,STH 47 TO CTH P,5.99,NC,"$10,000,000 - $10,999,999",2021/07/24 08:34:36+00,Replace the pavement that is reaching the end of its service life.,34,7,12
200512,58451673,2026 - 2027,2025 - 2026,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECST,302,MAJOR HIGHWAY DEVELOPMENT                                                  ,US,051,US 051,DANE                          ,STOUGHTON - MADISON,HARRISON ST TO ROBY RD,1.666,SW,"$9,000,000 - $9,999,999",2021/07/24 08:34:36+00,Existing roadway reconstruction with improvements to safety without expansion.,"43,46",2,"15,16"
200513,40651871,2026 - 2027,2027,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECST,303,STATE HIGHWAY REHABILITATION                                               ,WIS,114,WIS 114,WINNEBAGO                     ,MENASHA-SHERWOOD,MELISSA STREET-USH 10,1.048,NE,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,MILL AND OVERLAY,57,6,19
200515,27110670,2024,2024,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECONSTRUCT NO ADDL LANES,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,P  ,County P  ,WASHINGTON                    ,POLK - JACKSON,STH 145 TO SHERMAN ROAD,1.846,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"CTH P, STH 145 TO SHERMAN RD (Reconstruct no addl lanes)","58,60",5,20
200516,72300070,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,BUFFALO                       ,"T GLENCOE, PRONSCHINSKE DRIVE      ",SWINNS VALLEY CREEK BRIDGE B060198,0.006,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge.,92,3,31
200517,92001073,2023,2023,MISC  ,MISCELLANEOUS,CONSTR/MISC FENCING,303,STATE HIGHWAY REHABILITATION                                               ,WIS,029,WIS 029,BROWN                         ,SHAWANO - GREEN BAY,STH 156 - IH 41,8.37,NE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Construct an interchange at the CTH VV and STH 29 intersection in Brown County.,"6,4,5",8,2
200518,51500270,2024,2024,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/MILL & OVERLAY/RSRF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,082,WIS 082,VERNON                        ,DESOTO - VIROQUA,STH 35 TO STH 27,14.86,SW,"$7,000,000 - $7,999,999",2021/07/24 08:34:36+00,Replace Guard Rail End Terminals.,96,3,32
200521,11101571,2023,2023,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACE B-20-0651,303,STATE HIGHWAY REHABILITATION                                               ,WIS,026,WIS 026,FOND DU LAC                   ,ROSENDALE-OSHKOSH,STH 23 - CTH FF,0,NE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,ROSENDALE-OSHKOSH BRIDGE REPLACE B-20-651,53,6,18
200522,10094366,2026 - 2027,2025 - 2026,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,017,WIS 017,VILAS                         ,VILAS COUNTY CULVERT REPLACEMENT,STH 17 COUNTYWIDE,0.541,NC,"$500,000 - $749,999",2021/07/24 08:34:36+00,To Be Determined,34,7,12
200524,50500176,2023,2023,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/INTERSECTION IMPROVEMENT/RAB,303,STATE HIGHWAY REHABILITATION                                               ,WIS,023,WIS 023,SAUK                          ,REEDSBURG - WISCONSIN DELLS,STH 136 INTERSECTION,0.487,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Improved the safety of this intersection.  Investigate installing a roundabout.,50,2,17
200526,59440473,2022,2022,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/ MILL AND OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,081,WIS 081,LAFAYETTE                     ,DARLINGTON - ARGYLE,WILDCAT ROAD TO S JCT STH 78,14.195,SW,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,Resurfacing Project,51,2,17
200527,58800066,2026 - 2027,2025 - 2026,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONST/MILL & OVERLAY/RSRF,303,STATE HIGHWAY REHABILITATION                                               ,US,012,US 012,JUNEAU                        ,TOMAH - MAUSTON,MONROE COUNTY LINE TO A STREET,7.861,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Mill and Overlay Resurface.,"50,70",3,"17,24"
200528,11910576,2025,2024,PVRPLA,PAVEMENT REPLACEMENT,CONSTR/PVRPLA,303,STATE HIGHWAY REHABILITATION                                               ,US,053,US 053,CHIPPEWA                      ,CHIPPEWA FALLS - NEW AUBURN,CTH B TO STH 64,10.463,NW,"$25,000,000 - $29,999,999",2021/07/24 08:34:36+00,"This project consists of removing and replacing the existing pavement, culvert replacement C-09-0014 along with all incidentals necessary.",67,7,23
200529,11950370,2026 - 2027,2025 - 2026,BRRHB ,BRIDGE REHABILITATION,CONSTRUCTION/BRIDGE REHABILITATION,303,STATE HIGHWAY REHABILITATION                                               ,US,002,US 002,DOUGLAS                       ,SUPERIOR - WENTWORTH,STH 13 BRIDGE B-16-0024,0,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"Rehabilitation of bridge B-16-0024 including polymer overlay on bridge deck, replacement of strip seal joints, abutment repair, and other work as necessary.",73,7,25
200531,58080072,2022,2022,MISC  ,MISCELLANEOUS,CONST/SIGNING/MARKING IMPROVEMENTS,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,HH ,County HH ,JUNEAU                        ,SOUTH COUNTY LINE - STH 82,CTH J TO EAST JUNCTION STH 82,8.084,SW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Improve signing and marking per the Corridor Safety Evaluation Summary.,50,3,17
200532,95260071,2024,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,MARATHON                      ,"T STETTIN, HIGHLAND DRIVE          ",ARTUS CREEK BRIDGE P-37-0204,0,NC,"$500,000 - $749,999",2021/07/24 08:34:36+00,,86,7,29
